name,value
Cuba,12.8
"Micronesia, Federated States of",12.5
Solomon Islands,9.9
Montserrat,8.8
Norway,7.9
Denmark,7.8
Iceland,7.7
Sierra Leone,7.7
Belize,7.6
Sweden,7.6
Bolivia,7.3
Eswatini,7.1
Costa Rica,7.0
Lesotho,7.0
Bhutan,6.9
Oman,6.8
Timor-Leste,6.8
Tunisia,6.6
South Africa,6.5
Belgium,6.4
Finland,6.4
Brazil,6.3
New Zealand,6.3
Honduras,6.1
Israel,6.1
Puerto Rico,6.1
Kyrgyzstan,6.0
Zimbabwe,5.9
Cyprus,5.8
Saint Vincent and the Grenadines,5.7
Dominica,5.6
Argentina,5.5
Aruba,5.5
France,5.5
Guyana,5.5
Mozambique,5.5
Austria,5.4
Burkina Faso,5.4
Chile,5.4
Moldova,5.4
Togo,5.4
Ukraine,5.4
United Kingdom,5.4
Canada,5.3
Gaza Strip,5.3
Kenya,5.3
Uzbekistan,5.3
West Bank,5.3
Cabo Verde,5.2
Jamaica,5.2
Netherlands,5.2
Tajikistan,5.2
Australia,5.1
Burundi,5.1
Nepal,5.1
Sao Tome and Principe,5.1
Switzerland,5.1
Ecuador,5.0
Estonia,5.0
Portugal,5.0
United States,5.0
Uruguay,5.0
Curacao,4.9
Germany,4.9
Belarus,4.8
Malta,4.8
Senegal,4.8
Slovenia,4.8
Cook Islands,4.7
Ethiopia,4.7
Hungary,4.7
Malawi,4.7
Mauritius,4.7
Russia,4.7
Poland,4.6
Zambia,4.6
Colombia,4.5
Mexico,4.5
Vanuatu,4.5
Barbados,4.4
Brunei,4.4
Latvia,4.4
Nicaragua,4.4
Seychelles,4.4
"Korea, South",4.3
Turkey,4.3
Malaysia,4.2
Samoa,4.2
Spain,4.2
Vietnam,4.2
Afghanistan,4.1
Bulgaria,4.1
Maldives,4.1
Mongolia,4.1
Thailand,4.1
Ghana,4.0
Iran,4.0
Italy,4.0
Croatia,3.9
Czechia,3.9
Fiji,3.9
Slovakia,3.9
Hong Kong,3.8
India,3.8
Lithuania,3.8
Mali,3.8
Peru,3.8
Albania,3.6
Djibouti,3.6
El Salvador,3.6
Indonesia,3.6
Luxembourg,3.6
San Marino,3.6
Serbia,3.6
"Congo, Republic of the",3.5
Georgia,3.5
Ireland,3.5
Niger,3.5
Angola,3.4
Paraguay,3.4
Tanzania,3.4
Cote d'Ivoire,3.3
Saint Lucia,3.3
Andorra,3.2
Grenada,3.2
Guatemala,3.2
Japan,3.2
Panama,3.2
Cameroon,3.1
Jordan,3.1
Namibia,3.1
Romania,3.1
Rwanda,3.1
Turkmenistan,3.1
Benin,2.9
Laos,2.9
Pakistan,2.9
Singapore,2.9
Turks and Caicos Islands,2.9
Haiti,2.8
Madagascar,2.8
Armenia,2.7
Gabon,2.7
Macau,2.7
Qatar,2.7
Kazakhstan,2.6
Liberia,2.6
Liechtenstein,2.6
Saint Kitts and Nevis,2.6
Azerbaijan,2.5
British Virgin Islands,2.5
Chad,2.5
Comoros,2.5
Lebanon,2.5
"Gambia, The",2.4
Bahrain,2.3
Guinea,2.3
Cambodia,2.2
Guinea-Bissau,2.1
Sri Lanka,2.1
Uganda,2.1
Burma,1.9
Mauritania,1.9
Papua New Guinea,1.9
Bermuda,1.5
"Congo, Democratic Republic of the",1.5
Monaco,1.5
South Sudan,1.5
Bangladesh,1.3
Central African Republic,1.2
